Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,25057.060547,25099.949219,24869.939453,24951.339844,24951.339844,1510358900
2021-11-23,24688.990234,24794.720703,24618.740234,24651.580078,24651.580078,1486270300
2021-11-24,24672.099609,24851.529297,24557.630859,24685.500000,24685.500000,1791031000
2021-11-25,24699.689453,24762.609375,24532.820313,24740.160156,24740.160156,1188635100
2021-11-26,24502.679688,24502.679688,24062.259766,24080.519531,24080.519531,1804123100
2021-11-29,23910.490234,24134.320313,23774.310547,23852.240234,23852.240234,1741008500
2021-11-30,23782.859375,23888.369141,23175.369141,23475.259766,23475.259766,3344858000
2021-12-01,23595.570313,23864.300781,23537.650391,23658.919922,23658.919922,2118634900
2021-12-02,23524.050781,23807.000000,23517.519531,23788.929688,23788.929688,2328241400
2021-12-03,23675.259766,23802.769531,23451.929688,23766.689453,23766.689453,2717889700
2021-12-06,23420.439453,23628.300781,23314.970703,23349.380859,23349.380859,2357402800
2021-12-07,23704.509766,23989.779297,23512.500000,23983.660156,23983.660156,2120328800
2021-12-08,24090.019531,24097.980469,23907.300781,23996.869141,23996.869141,1778623400
2021-12-09,24168.410156,24324.839844,24153.720703,24254.859375,24254.859375,1743251800
2021-12-10,24070.560547,24214.679688,23916.630859,23995.720703,23995.720703,1413938100
2021-12-13,24242.259766,24385.439453,23936.929688,23954.580078,23954.580078,1538105600
2021-12-14,23693.730469,23817.580078,23560.130859,23635.949219,23635.949219,1553577700
2021-12-15,23658.039063,23745.750000,23325.919922,23420.759766,23420.759766,1597121900
2021-12-16,23287.929688,23526.050781,23155.619141,23475.500000,23475.500000,1498950200
2021-12-17,23463.779297,23463.779297,23158.699219,23192.630859,23192.630859,2188694200
2021-12-20,23079.830078,23145.300781,22665.250000,22744.859375,22744.859375,1681615600
2021-12-21,22795.570313,23100.179688,22730.080078,22971.330078,22971.330078,1651194400
2021-12-22,23221.130859,23258.710938,22979.759766,23102.330078,23102.330078,1230794100
2021-12-23,23141.789063,23264.750000,23027.150391,23193.640625,23193.640625,1387904000
2021-12-24,23375.990234,23383.189453,23186.570313,23223.759766,23223.759766,622879700
2021-12-28,23282.349609,23319.439453,23099.480469,23280.560547,23280.560547,1433026700
2021-12-29,23253.980469,23253.980469,23008.279297,23086.539063,23086.539063,828414400
2021-12-30,23130.449219,23248.259766,22990.240234,23112.009766,23112.009766,1008366000
2021-12-31,23553.789063,23590.119141,23394.769531,23397.669922,23397.669922,675936400
2022-01-03,23510.539063,23605.029297,23193.189453,23274.750000,23274.750000,734331100
2022-01-04,23400.619141,23439.300781,23146.890625,23289.839844,23289.839844,1760141200
2022-01-05,23323.769531,23323.769531,22851.500000,22907.250000,22907.250000,2768859000
2022-01-06,22843.199219,23082.949219,22709.599609,23072.859375,23072.859375,1765786100
2022-01-07,23318.919922,23497.500000,23162.849609,23493.380859,23493.380859,2602290600
2022-01-10,23523.900391,23790.519531,23399.089844,23746.539063,23746.539063,2544917200
2022-01-11,23678.689453,23863.830078,23595.009766,23739.060547,23739.060547,2331482400
2022-01-12,24069.519531,24402.169922,24069.519531,24402.169922,24402.169922,2489491200
2022-01-13,24561.480469,24561.480469,24289.189453,24429.769531,24429.769531,2160545100
2022-01-14,24185.859375,24383.320313,24140.810547,24383.320313,24383.320313,1840017300
2022-01-17,24390.289063,24408.880859,24111.740234,24218.029297,24218.029297,1633511900
2022-01-18,24274.750000,24385.050781,24009.710938,24112.779297,24112.779297,1638866400
2022-01-19,24229.779297,24286.140625,23951.599609,24127.849609,24127.849609,1729894900
2022-01-20,24263.150391,24952.349609,24233.179688,24952.349609,24952.349609,2531394600
2022-01-21,24897.589844,24982.029297,24723.919922,24965.550781,24965.550781,2370146600
2022-01-24,24693.429688,24795.539063,24570.869141,24656.460938,24656.460938,1871541000
2022-01-25,24251.220703,24366.890625,24001.960938,24243.609375,24243.609375,2183354400
2022-01-26,24342.900391,24487.300781,24123.699219,24289.900391,24289.900391,1959621300
2022-01-27,23952.009766,23952.009766,23565.000000,23807.000000,23807.000000,1846826800
2022-01-28,23818.939453,23848.019531,23507.029297,23550.080078,23550.080078,1777188300
2022-01-31,23624.140625,23975.699219,23469.759766,23802.259766,23802.259766,995464900
2022-02-04,24392.859375,24609.330078,24140.890625,24573.289063,24573.289063,1832921400
2022-02-07,24609.429688,24616.500000,24365.890625,24579.550781,24579.550781,0
2022-02-08,24548.050781,24548.050781,24149.750000,24329.490234,24329.490234,2294892100
2022-02-09,24727.339844,24896.429688,24690.449219,24829.990234,24829.990234,2511123700
2022-02-10,25050.589844,25050.589844,24649.740234,24924.349609,24924.349609,2097934100
2022-02-11,24837.199219,24957.810547,24732.650391,24906.660156,24906.660156,2514710500
2022-02-14,24725.099609,24733.109375,24482.859375,24556.570313,24556.570313,1978812000
2022-02-15,24458.500000,24570.089844,24219.900391,24355.710938,24355.710938,2625908900
2022-02-16,24618.300781,24728.929688,24548.050781,24718.900391,24718.900391,1815173000
2022-02-17,24722.880859,24861.820313,24523.949219,24792.769531,24792.769531,1566206700
2022-02-18,24633.660156,24763.369141,24284.529297,24327.710938,24327.710938,1677848400
2022-02-21,24109.589844,24231.080078,23998.769531,24170.070313,24170.070313,1618294600
2022-02-22,23692.539063,23813.640625,23336.779297,23520.000000,23520.000000,2057604700
2022-02-23,23617.970703,23745.070313,23500.919922,23660.279297,23660.279297,1416047900
2022-02-24,23268.029297,23376.369141,22786.390625,22901.560547,22901.560547,2997726900
2022-02-25,22908.099609,23046.859375,22718.150391,22767.179688,22767.179688,2524255600
2022-02-28,22818.169922,22818.169922,22406.119141,22713.019531,22713.019531,2833849000
2022-03-01,22739.839844,22937.560547,22591.730469,22761.710938,22761.710938,1796043100
2022-03-02,22568.359375,22712.439453,22299.140625,22343.919922,22343.919922,2227896000
2022-03-03,22434.259766,22543.419922,22378.109375,22467.339844,22467.339844,1937725100
2022-03-04,21879.130859,22017.939453,21838.990234,21905.289063,21905.289063,2438205000
2022-03-07,21308.900391,21327.189453,20826.359375,21057.630859,21057.630859,3322870000
2022-03-08,21082.390625,21303.519531,20638.949219,20765.869141,20765.869141,3231989700
2022-03-09,20820.019531,20957.720703,20102.570313,20627.710938,20627.710938,3674580900
2022-03-10,21106.570313,21114.439453,20709.619141,20890.259766,20890.259766,2694330600
2022-03-11,20460.029297,20778.859375,20079.150391,20553.789063,20553.789063,3019997500
2022-03-14,20203.839844,20203.839844,19416.779297,19531.660156,19531.660156,4096127300
2022-03-15,18931.179688,19392.689453,18235.480469,18415.080078,18415.080078,6012760100
2022-03-16,18956.019531,20120.849609,18584.039063,20087.500000,20087.500000,5501050500
2022-03-17,21430.710938,21501.230469,20786.689453,21501.230469,21501.230469,4826218000
2022-03-18,21232.880859,21646.150391,20922.369141,21412.400391,21412.400391,4590509200
2022-03-21,21823.070313,21823.070313,21096.310547,21221.339844,21221.339844,2340034100
2022-03-22,21319.189453,21906.320313,21266.900391,21889.279297,21889.279297,2590383300
2022-03-23,22088.789063,22423.509766,21983.099609,22154.080078,22154.080078,2835723800
2022-03-24,22002.869141,22231.669922,21900.130859,21945.949219,21945.949219,2404819800
2022-03-25,21735.609375,21944.080078,21289.259766,21404.880859,21404.880859,2358152600
2022-03-28,21422.199219,21790.970703,21202.689453,21684.970703,21684.970703,2200278800
2022-03-29,21771.289063,21937.269531,21722.169922,21927.630859,21927.630859,2259328100
2022-03-30,22101.630859,22391.349609,22033.779297,22232.029297,22232.029297,2729645500
2022-03-31,22262.160156,22262.160156,21922.580078,21996.849609,21996.849609,2226286300
2022-04-01,21693.099609,22039.550781,21558.050781,22039.550781,22039.550781,1937497800
2022-04-04,22227.109375,22523.640625,22124.029297,22502.310547,22502.310547,1868076200
2022-04-06,22220.210938,22244.990234,22015.119141,22080.519531,22080.519531,2749772600
2022-04-07,21910.400391,22236.929688,21779.189453,21808.980469,21808.980469,2078973200
